,LONGITUD,LATITUD,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,SEMAFORO,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
946,-101.23823,19.68751,25.0,3,117.0,4,80.0,3,24000.0,5,200.0,2,,0,30.1,3,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,LOTICO
947,-101.13477,19.73386,64.0,4,149.0,4,48.0,2,11000.0,5,11000.0,5,,0,58.39,2,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,LOTICO
948,-101.10961,19.7395,26.0,3,127.0,4,114.0,3,24000.0,5,24000.0,5,,0,9.0,5,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,LOTICO
949,-101.09534,19.74042,26.0,3,125.0,4,114.0,3,24000.0,5,24000.0,5,,0,16.7,4,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,LOTICO
950,-100.9399,19.88168,34.0,4,327.0,5,140.0,3,93.0,1,93.0,1,,0,,0,274.0,5,,0,,0,,0,,0,0.0,1,0.0,1,3.0,0.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
951,-100.41941,19.90471,18.0,3,95.0,4,42.0,2,90.0,1,40.0,1,,0,9.0,5,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LOTICO
952,-100.94225,19.95696,23.0,3,213.0,5,9.0,1,150.0,2,23.0,1,,0,,0,40.7,3,,0,,0,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
953,-100.89322,19.95101,92.0,4,239.0,5,80.0,3,240.0,3,23.0,1,,0,,0,116.3,2,,0,,0,,0,,0,0.0,1,0.0,1,3.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
954,-100.85033,19.93008,109.0,4,491.0,5,460.0,5,1100.0,4,460.0,2,,0,,0,,0,,0,,0,,0,,0,0.0,1,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,,,1.0,LENTICO
955,-100.32356,19.89361,10.0,3,79.0,4,14.0,1,110.0,2,110.0,1,,0,90.9,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
